"","occ_abs","lon_dd","lat_dd"
"1",1,-48.410084,-27.179734
"2",1,-48.366507,-27.274929
"3",1,-48.374322,-27.277575
"4",1,-48.373473,-27.28337
"5",1,-48.368059,-27.29055
"6",1,-48.366825,-27.295054
"7",1,-48.360993,-27.295573
"8",1,-48.33098,-27.270964
"9",0,-48.367933,-27.424543
"10",0,-48.364666,-27.487263
"11",0,-48.357756,-27.484913
"12",0,-48.523487,-26.368924
"13",0,-48.525966,-26.386131
"14",0,-48.584175,-26.498403
"15",0,-48.56187,-26.513691
"16",0,-48.543691,-27.137437
"17",0,-48.524601,-27.121502
"18",0,-48.513762,-27.117377
"19",0,-48.481164,-27.136466
"20",0,-48.468627,-27.20514
"21",0,-48.406323,-27.183766
